Smiles,Num
C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,60
C1CC2CNC3C4CC2C3(C1)C1CC2CCC4C1C2,37
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4CCCCO4)CCC3C2C1,34
O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5CCCCO5)CC4CCC3C1CC2,32
O=C(OC1C2CCC3C4CC5C6CCCC5(C(C2)C31)C4NC6)c1ccccc1,28
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C2C1,25
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCC(OC5OCCCC5OC5CCCCO5)C4OC4CCCCO4)CCC3C2C1,25
O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2,24
C1CC2CNC3C4(C1)C2CC31OCOC12CCC1CC4C2C1,17
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CC(OC5CCCCO5)CCO4)CCC3C2C1,17
O=C(OCC12CCCC34C5CC6CCC(C5C6)C(CC13)C4NC2)c1ccccc1,17
O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5OCCCC5OC5CCCCO5)CC4CCC3C1CC2,17
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCC(OC5CCCO5)C4OC4CCCCO4)CCC3C2C1,16
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4CC(OC5CCCCO5)CCO4)CCC3C2C1,15
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4OCCCC4OC4CCCCO4)CCC3C2C1,15
C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21,15
,15
O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5CC(OC6CCCCO6)CCO5)CC4CCC3C1CC2,14
C=C1C(=O)OC2C=CCCC=CCCC12,13
O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5OCCC(OC6CCCCO6)C5OC5CCCCO5)CC4CCC3C1CC2,13
C1CCC(OC2CCCOC2OC2COC(OC3CCC4C(CCC5C4CCC46OCC7(CCCCC74)CCC56)C3)C(OC3CCCCO3)C2)OC1,13
O=C(OCC1CCCC(OC23CC4C5CC2OC(O5)C43COC(=O)c2ccccc2)O1)c1ccccc1,11
O=c1oc2ccccc2c2c1CCO2,11
C=C1CCC2CC(=O)OC2C2C(=C)CCC12,11
O=C(OC1OCCCC1OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5CCCCO5)CC4CCC3C1CC2,10
O=C(OC1CCCC(COC2CCC(OC3CCCCO3)CO2)O1)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2,10
C1CCOCC1,10
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4CCC(OC5CCCCO5)CO4)CCC3C2C1,10
C=C1C(=O)OC2C1CCC(=C)C1CCC(=C)C12,10
c1ccccc1,9
O=C(OC1CCCC(COC2CCC(OC3CCCCO3)CO2)O1)C12CCCCC1C1=CCC3C4CCC(OC5CCCCO5)CC4CCC3C1CC2,9
O=C(OCC12C3OC4CC(O3)C1(OC1CCCCO1)CC42)c1ccccc1,9
O=C(OC1CCCC(COC2CCC(OC3CCCCO3)CO2)O1)C12CCCCC1C1=CCC3C4CCC(OC5OCCCC5OC5CCCCO5)CC4CCC3C1CC2,9
C1CCC(OC2CCC34CC35CCC3C(CC67OCC(CCC36)O7)C5CCC4C2)OC1,9
C=C1CCC2CCCCC2C1,9
C=C1CCC2C(C1)CC(=O)C1CCCCC12,9
O=C1CC2CCCCC2c2ccccc21,9
