ID,originalMoleculeSMILES,deglycosylatedMoleculeSMILES,hadOrHasSugars,SugarMoietySMILES
TPCN01451,C=C1CC(OC2OC(CO)C(O)C(O)C2O)C2C(C)C(=O)OC2C2C(=C)CCC12,C=C1CC(O)C2C(C)C(=O)OC2C2C(=C)CCC12,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01452,C=C1CC(O)C2C(COC)C(=O)OC2C2C(=C)C(O)CC12,C=C1CC(O)C2C(COC)C(=O)OC2C2C(=C)C(O)CC12,false,[]
TPCN01453,CC1=CCCC(C(=O)O)=CC2C(CC1)C2(C)C,CC1=CCCC(C(=O)O)=CC2C(CC1)C2(C)C,false,[]
TPCN01454,CC1C(=O)OC2CC3(C)OC3CC(O)C3=CC(OC3=O)C21,CC1C(=O)OC2CC3(C)OC3CC(O)C3=CC(OC3=O)C21,false,[]
TPCN01455,COc1ccc(C(=O)C2C(=O)OC(C)(CCCC(C)=CC(=O)CC(C)C)C2C)c(O)c1,COc1ccc(C(=O)C2C(=O)OC(C)(CCCC(C)=CC(=O)CC(C)C)C2C)c(O)c1,false,[]
TPCN01456,CC1=CC(=O)C2C3C(C(C)(C)OC4OC(COC5OCC(O)(CO)C5O)C(O)C(O)C4O)CCC2(C)C13,CC1=CC(=O)C2C3C(C(C)(C)O)CCC2(C)C13,true,"['[C]1[CH][CH]OC1', 'O1[CH][CH][CH][CH][CH]1']"
TPCN01457,CC(C)=CC1CCC2(C)C(O)CCC(C)(O)C12,CC(C)=CC1CCC2(C)C(O)CCC(C)(O)C12,false,[]
TPCN01458,CC1C2CC3(O)C14CC(=O)C(C)(O)C3(C)COC(=O)C4O2,CC1C2CC3(O)C14CC(=O)C(C)(O)C3(C)COC(=O)C4O2,false,[]
TPCN01459,CC1CC(O)C2(O)C13CC(OC(=O)C3O)C(C)(O)C21COC1=O,CC1CC(O)C2(O)C13CC(OC(=O)C3O)C(C)(O)C21COC1=O,false,[]
TPCN01460,C=C1CCC2(O)C1C1(O)OC2(C)C(OC(=O)C2(C)OC2C)CC1C(C)C,C=C1CCC2(O)C1C1(O)OC2(C)C(OC(=O)C2(C)OC2C)CC1C(C)C,false,[]
TPCN01461,CC1=CC=CC2(COC3OC(COC4OCC(O)(CO)C4O)C(O)C(O)C3O)CCC3C(OC(=O)C3(C)O)C12,CC1=CC=CC2(CO)CCC3C(OC(=O)C3(C)O)C12,true,"['[C]1[CH][CH]OC1', 'O1[CH][CH][CH][CH][CH]1']"
TPCN01462,CCC(=O)OCC1(C)C(O)(COC)C2CC3(C(C)CCC31O)C(O)C(=O)O2,CCC(=O)OCC1(C)C(O)(COC)C2CC3(C(C)CCC31O)C(O)C(=O)O2,false,[]
TPCN01463,C=C1C(=O)OC2C(O)C(C)C3=CC(=O)C(C)(CC(OC(=O)C(C)=CC)C12)O3,C=C1C(=O)OC2C(O)C(C)C3=CC(=O)C(C)(CC(OC(=O)C(C)=CC)C12)O3,false,[]
TPCN01464,C=C(C)C(=O)OC1CC2(C)OC(=CC2=O)C(=C)C(O)C2OC(=O)C(=C)C12,C=C(C)C(=O)OC1CC2(C)OC(=CC2=O)C(=C)C(O)C2OC(=O)C(=C)C12,false,[]
