Family,Counts,Percentages(%),Min,Max,Mean,Median,Content(%)
Hypoxidaceae,3,0.05,0.000111,0.0002,0.000152,0.000145,0.000111~0.0002
Velloziaceae,3,0.05,0.000157,0.000895,0.0004723333333333333,0.000365,0.000157~0.000895
Cardiopteridaceae,3,0.05,0.093333,0.1,0.09777766666666667,0.1,0.093333~0.1
Canellaceae,3,0.05,0.001033,0.003143,0.0017386666666666668,0.00104,0.001033~0.003143
Dennstaedtiaceae,2,0.03,0.011333,0.012,0.0116665,0.0116665,0.011333~0.012
Hamamelidaceae,2,0.03,0.000245,0.000655,0.00045,0.00045,0.000245~0.000655
Stilbaceae,2,0.03,0.000556,0.018889,0.0097225,0.0097225,0.000556~0.018889
Bixaceae,2,0.03,0.001361,0.026352,0.0138565,0.0138565,0.001361~0.026352
Piperaceae,2,0.03,0.003816,0.004667,0.0042415000000000005,0.0042415000000000005,0.003816~0.004667
Podocarpaceae,2,0.03,0.000117,0.003333,0.001725,0.001725,0.000117~0.003333
Asparagaceae,2,0.03,0.00016,0.000161,0.0001605,0.0001605,0.00016~0.000161
Capparaceae,2,0.03,0.008,0.014,0.011,0.011,0.008~0.014
Burseraceae,2,0.03,0.000225,0.00288,0.0015525,0.0015525,0.000225~0.00288
Anacardiaceae,2,0.03,0.000168,0.005421,0.0027944999999999997,0.0027944999999999997,0.000168~0.005421
Dryopteridaceae,1,0.02,0.00035,0.00035,0.00035,0.00035,0.00035~0.00035
Cleomaceae,1,0.02,0.005333,0.005333,0.005333,0.005333,0.005333~0.005333
Potamogetonaceae,1,0.02,0.002,0.002,0.002,0.002,0.002~0.002
Geraniaceae,1,0.02,0.0008,0.0008,0.0008,0.0008,0.0008~0.0008
Myricaceae,1,0.02,0.0025,0.0025,0.0025,0.0025,0.0025~0.0025
Siparunaceae,1,0.02,0.000871,0.000871,0.000871,0.000871,0.000871~0.000871
Paulowniaceae,1,0.02,0.0062,0.0062,0.0062,0.0062,0.0062~0.0062
Acoraceae,1,0.02,0.003,0.003,0.003,0.003,0.003~0.003
Tamaricaceae,1,0.02,0.000667,0.000667,0.000667,0.000667,0.000667~0.000667
Asclepiadaceae,1,0.02,0.000453,0.000453,0.000453,0.000453,0.000453~0.000453
Entodontaceae,1,0.02,0.000245,0.000245,0.000245,0.000245,0.000245~0.000245
Onagraceae,1,0.02,0.0005,0.0005,0.0005,0.0005,0.0005~0.0005
Aspleniaceae,1,0.02,0.000286,0.000286,0.000286,0.000286,0.000286~0.000286
Alismataceae,1,0.02,0.0001,0.0001,0.0001,0.0001,0.0001~0.0001
Lepidolaenaceae,1,0.02,0.018898,0.018898,0.018898,0.018898,0.018898~0.018898
Loasaceae,1,0.02,0.000292,0.000292,0.000292,0.000292,0.000292~0.000292
Betulaceae,1,0.02,0.833333,0.9,0.8666665,0.8666665,0.833333~0.9
Adoxaceae,1,0.02,0.000219,0.000219,0.000219,0.000219,0.000219~0.000219
