Specie,Counts,Percentages(%),Min,Max,Mean,Median,Contents
Salvia officinalis,1,0.02,0.0018,0.0018,0.0018,0.0018,0.0018~0.0018
Lepidagathis incurva,1,0.02,0.001875,0.001875,0.001875,0.001875,0.001875~0.001875
Fritillaria hupehensis,1,0.02,0.000442,0.000442,0.000442,0.000442,0.000442~0.000442
Hedychium villosum,1,0.02,0.000306,0.000306,0.000306,0.000306,0.000306~0.000306
Pinus densiflora,1,0.02,0.000124,0.000124,0.000124,0.000124,0.000124~0.000124
Prunella vulgaris,1,0.02,0.00035,0.00035,0.00035,0.00035,0.00035~0.00035
Clinopodium micranthum,1,0.02,0.001306,0.001306,0.001306,0.001306,0.001306~0.001306
Euphorbia wallichii,1,0.02,0.00039,0.00039,0.00039,0.00039,0.00039~0.00039
Croton cajucara,1,0.02,0.000438,0.000438,0.000438,0.000438,0.000438~0.000438
Euphorbia iberica,1,0.02,0.00032,0.00032,0.00032,0.00032,0.00032~0.00032
Croton zambesicus,1,0.02,0.000603,0.000603,0.000603,0.000603,0.000603~0.000603
Sambucus australis,1,0.02,0.041364,0.041364,0.041364,0.041364,0.041364~0.041364
Ilex chinensis,1,0.02,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05~2.9e-05
Canavalia gladiata,1,0.02,0.002644,0.002644,0.002644,0.002644,0.002644~0.002644
Salvia carduacea,1,0.02,0.003091,0.003091,0.003091,0.003091,0.003091~0.003091
Bupleurum fruticosum,1,0.02,0.063636,0.063636,0.063636,0.063636,0.063636~0.063636
Camptosorus sibiricus,1,0.02,0.000286,0.000286,0.000286,0.000286,0.000286~0.000286
Arnica montana,1,0.02,0.000106,0.000106,0.000106,0.000106,0.000106~0.000106
Litsea cubeba,1,0.02,0.0032,0.0032,0.0032,0.0032,0.0032~0.0032
Agastache rugosa,1,0.02,0.003333,0.003333,0.003333,0.003333,0.003333~0.003333
Alpinia intermedia,1,0.02,0.0026,0.0026,0.0026,0.0026,0.0026~0.0026
Podocarpus nagi,1,0.02,0.003333,0.003333,0.003333,0.003333,0.003333~0.003333
Astragalus microcephalus,1,0.02,0.013462,0.013462,0.013462,0.013462,0.013462~0.013462
Ocotea suaveolens,1,0.02,0.01,0.01,0.01,0.01,0.01~0.01
Monechma debile,1,0.02,0.01,0.01,0.01,0.01,0.01~0.01
Tabernaemontana longipes,1,0.02,0.0076,0.0076,0.0076,0.0076,0.0076~0.0076
Gypsophila pilulifera,1,0.02,0.005429,0.005429,0.005429,0.005429,0.005429~0.005429
Ajuga multiflora,1,0.02,0.00042,0.00042,0.00042,0.00042,0.00042~0.00042
Bruguiera sexangula,1,0.02,0.000455,0.000455,0.000455,0.000455,0.000455~0.000455
Kaempferia angustifolia,1,0.02,0.002614,0.002614,0.002614,0.002614,0.002614~0.002614
Ludwigia leptocarpa,1,0.02,0.0005,0.0005,0.0005,0.0005,0.0005~0.0005
Consolida orientalis,1,0.02,0.000824,0.000824,0.000824,0.000824,0.000824~0.000824
Pelargonium reniforme,1,0.02,0.0008,0.0008,0.0008,0.0008,0.0008~0.0008
Jatropha multifida,1,0.02,0.0008,0.0008,0.0008,0.0008,0.0008~0.0008
Rhizophora apiculata,1,0.02,0.0008,0.0008,0.0008,0.0008,0.0008~0.0008
Euphorbia gaditana,1,0.02,7.8e-05,7.8e-05,7.8e-05,7.8e-05,7.8e-05~7.8e-05
Phlomidoschema parviflorum,1,0.02,7.1e-05,7.1e-05,7.1e-05,7.1e-05,7.1e-05~7.1e-05
Clerodendrum kaichianum,1,0.02,6e-05,6e-05,6e-05,6e-05,6e-05~6e-05
Itoa orientalis,1,0.02,2.9e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05~2.9e-05
Semiaquilegia adoxoides,1,0.02,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05~2.5e-05
