Specie,Counts,Percentages(%),Min,Max,Mean,Median,Contents
Phyllanthus emblica,26,0.41,1e-06,0.000459,3.37037037037037e-05,1.4e-05,1e-06~0.000459
Ferula fukanensis,26,0.41,2.5e-05,0.001512,0.00025507692307692313,0.0002085,2.5e-05~0.001512
Caryocar glabrum,25,0.39,0.001681,0.086555,0.013310919999999995,0.005882,0.001681~0.086555
Ilex pubescens,25,0.39,2.8e-05,0.001222,0.00022846153846153839,0.000115,2.8e-05~0.001222
Larrea tridentata,25,0.39,6.7e-05,0.007533,0.0009652400000000001,0.00042,6.7e-05~0.007533
Inula hupehensis,25,0.39,8e-06,0.000833,0.00013588,6.5e-05,8e-06~0.000833
Aesculus pavia,25,0.39,0.000222,0.002889,0.00156884,0.001444,0.000222~0.002889
Pleurospermum kamtschaticum,25,0.39,0.0004,0.0115,0.0025539999999999994,0.00155,0.0004~0.0115
Camellia oleifera,24,0.38,3.7e-05,0.000968,0.00020204166666666664,0.0001125,3.7e-05~0.000968
Caryocar villosum,24,0.38,0.000225,0.007,0.0013707500000000002,0.000787,0.000225~0.007
Aconitum nagarum,24,0.38,6e-05,0.053,0.005024125000000002,0.00030000000000000003,6e-05~0.053
Gypsophila oldhamiana,24,0.38,2.3e-05,0.01,0.00066808,0.0001,2.3e-05~0.01
Inula helenium,24,0.38,2.7e-05,0.055333,0.0037770370370370366,0.000153,2.7e-05~0.055333
Chenopodium quinoa,24,0.38,0.000202,0.021,0.0030613333333333343,0.002,0.000202~0.021
Alstonia yunnanensis,23,0.36,1.7e-05,0.005667,0.0005114,0.000358,1.7e-05~0.005667
Caulophyllum thalictroides,23,0.36,0.000188,0.06525,0.007863428571428575,0.0012690000000000002,0.000188~0.06525
Scutellaria barbata,23,0.36,4e-05,0.000337,0.0001385217391304348,0.000118,4e-05~0.000337
Ardisia japonica,23,0.36,2e-05,0.011,0.0009982499999999998,0.0001425,2e-05~0.011
Platycodon grandiflorum,23,0.36,5e-05,0.0132,0.0008881153846153848,0.0001225,5e-05~0.0132
Carpesium abrotanoides,22,0.34,2.4e-05,0.012,0.0011571724137931034,0.00012,2.4e-05~0.012
Panax quinquefolium,22,0.34,5e-05,0.0175,0.0014629166666666668,0.0002585,5e-05~0.0175
Euphorbia fischeriana,22,0.34,2.6e-05,0.007186,0.0013004074074074072,0.000532,2.6e-05~0.007186
Glycyrrhiza uralensis,21,0.33,9e-06,0.0004,6.503703703703702e-05,3e-05,9e-06~0.0004
Dysoxylum cumingianum,21,0.33,1.1e-05,0.172414,0.01017209090909091,0.000152,1.1e-05~0.172414
Delphinium anthriscifolium,21,0.33,3.3e-05,0.00825,0.0008574285714285713,0.000375,3.3e-05~0.00825
Albizia julibrissin,21,0.33,1.8e-05,0.00163,0.00018585714285714283,8.4e-05,1.8e-05~0.00163
Clematis uncinata,21,0.33,0.00095,0.008,0.0020285714285714286,0.0017,0.00095~0.008
Elephantopus scaber,21,0.33,3e-06,0.000305,5.877272727272727e-05,2.4999999999999998e-05,3e-06~0.000305
Ilex rotunda,20,0.31,8.3e-05,0.094444,0.0060525,0.00018350000000000002,8.3e-05~0.094444
Euphorbia marginata,20,0.31,4.1e-05,0.018667,0.0013155500000000004,0.00024,4.1e-05~0.018667
Aconitum kirinense,20,0.31,2.9e-05,0.002927,0.00035020000000000006,0.000107,2.9e-05~0.002927
Aphanamixis grandifolia,20,0.31,2.1e-05,0.00135,0.00035763636363636374,0.00018199999999999998,2.1e-05~0.00135
Tinospora sinensis,20,0.31,1.8e-05,0.002667,0.0005396363636363636,0.0002365,1.8e-05~0.002667
Tripterygium regelii,19,0.3,7e-06,0.000517,0.00010747368421052631,2.5e-05,7e-06~0.000517
Combretum quadrangulare,19,0.3,0.000133,0.003178,0.0007441052631578947,0.000311,0.000133~0.003178
Impatiens siculifer,19,0.3,8e-05,0.00176,0.0004136842105263157,0.00032,8e-05~0.00176
Clematis chinensis,19,0.3,0.000114,0.24,0.013843526315789478,0.0008,0.000114~0.24
Daphne genkwa,19,0.3,9e-06,0.000559,0.00010415789473684207,6.5e-05,9e-06~0.000559
Aesculus glabra,19,0.3,0.0002,0.0026,0.0012352631578947371,0.001,0.0002~0.0026
Ferula ferulaeoides,19,0.3,5.7e-05,0.0025,0.0005363684210526316,0.0002,5.7e-05~0.0025
Clinopodium chinense,19,0.3,1.7e-05,0.023221,0.002365181818181818,9.400000000000001e-05,1.7e-05~0.023221
Euphorbia macrorrhiza,19,0.3,8.3e-05,0.000996,0.00024264999999999993,0.000166,8.3e-05~0.000996
Anemone flaccida,19,0.3,0.000269,0.0008,0.0005010434782608694,0.000423,0.000269~0.0008
Dianthus chinensis,19,0.3,5e-06,0.004167,0.0002660454545454545,8.15e-05,5e-06~0.004167
Saussurea lappa,19,0.3,4.6e-05,0.019,0.0025002222222222223,0.000316,4.6e-05~0.019
Cimicifuga heracleifolia,18,0.28,0.000107,0.000899,0.0003443333333333333,0.00027150000000000004,0.000107~0.000899
Lysimachia foenum-graecum,18,0.28,5.4e-05,0.000212,0.00010677777777777777,9.099999999999999e-05,5.4e-05~0.000212
Tabernaemontana bufalina,18,0.28,0.0002,0.007,0.00144,0.0006399999999999999,0.0002~0.007
Xanthoceras sorbifolia,18,0.28,6e-05,0.0135,0.0018601666666666667,0.0001855,6e-05~0.0135
Abelmoschus sagittifolius,18,0.28,8.3e-05,0.093813,0.006996166666666666,0.0005485,8.3e-05~0.093813
Cussonia racemosa,18,0.28,0.0004,0.029006,0.004442277777777778,0.001023,0.0004~0.029006
Euphorbia esula,18,0.28,0.000167,0.006667,0.0008018888888888889,0.00045,0.000167~0.006667
Anemone raddeana,18,0.28,0.0001,0.01,0.0013694444444444446,0.000675,0.0001~0.01
Aconitum carmichaeli,18,0.28,0.0002,0.005111,0.0016685263157894734,0.0012,0.0002~0.005111
Sapindus saponaria,18,0.28,8.4e-05,0.0164,0.0016245263157894738,0.000369,8.4e-05~0.0164
Pimelea elongata,18,0.28,0.0001,0.0042,0.00072205,0.00036,0.0001~0.0042
Lindera aggregata,18,0.28,2.1e-05,0.03941,0.004985380952380953,0.000267,2.1e-05~0.03941
Cistanche tubulosa,18,0.28,0.00018,0.00428,0.0014033333333333337,0.0005600000000000001,0.00018~0.00428
Caryopteris glutinosa,17,0.27,1.6e-05,0.000266,7.423529411764706e-05,6.4e-05,1.6e-05~0.000266
Celastrus orbiculatus,17,0.27,4e-05,0.0087,0.0007318823529411765,0.0002,4e-05~0.0087
Stauntonia chinensis,17,0.27,9e-06,0.00093,0.0002269411764705882,0.000114,9e-06~0.00093
Ardisia crenata,17,0.27,0.0001,0.019,0.0019924117647058827,0.000786,0.0001~0.019
Centella asiatica,17,0.27,0.0002,0.588889,0.04092072727272727,0.0014055,0.0002~0.588889
Calendula stellata,17,0.27,0.000765,0.009946,0.0023853529411764713,0.001148,0.000765~0.009946
Inula britannica,16,0.25,1.1e-05,0.004447,0.0010524444444444442,0.000417,1.1e-05~0.004447
Cimicifuga racemosa,16,0.25,4e-05,0.034,0.0035244117647058822,0.0007,4e-05~0.034
Clematis mandshurica,16,0.25,0.00032,0.0256,0.0031095,0.0011099999999999999,0.00032~0.0256
Paeonia obovata,16,0.25,0.00015,0.183,0.025405,0.0023575,0.00015~0.183
Atractylodes lancea,16,0.25,8e-06,0.000313,7.762499999999999e-05,4.1500000000000006e-05,8e-06~0.000313
Medicago truncatula,15,0.23,0.000367,0.0096,0.0035022,0.0029,0.000367~0.0096
Chloranthus japonicus,15,0.23,1.5e-05,0.000524,0.0002447333333333334,0.00021,1.5e-05~0.000524
Glechoma longituba,15,0.23,0.000107,0.00394,0.0008021999999999999,0.000407,0.000107~0.00394
Ardisia mamillata,15,0.23,2.3e-05,0.00992,0.0017498,0.000764,2.3e-05~0.00992
Polygala japonica,15,0.23,8e-05,0.008,0.0015613333333333336,0.00054,8e-05~0.008
Euscaphis japonica,15,0.23,7.1e-05,0.000922,0.00023313333333333335,0.000159,7.1e-05~0.000922
Clematis terniflora,15,0.23,1.7e-05,0.00082,0.00014093333333333333,4.3e-05,1.7e-05~0.00082
Elephantopus mollis,15,0.23,5.6e-05,0.0105,0.0015818235294117646,0.0001,5.6e-05~0.0105
Sarcandra glabra,15,0.23,4e-05,0.0019,0.00037318750000000004,0.0002065,4e-05~0.0019
Ixeris dentata,15,0.23,3.3e-05,0.003667,0.0006476875,0.000167,3.3e-05~0.003667
Saussurea involucrata,15,0.23,0.000147,0.004444,0.0007566249999999999,0.0003885,0.000147~0.004444
Gouania longipetala,15,0.23,0.000273,0.034842,0.0038175000000000006,0.0012634999999999999,0.000273~0.034842
Pieris japonica,15,0.23,6e-06,0.000445,7.169565217391304e-05,3.8e-05,6e-06~0.000445
Aconitum japonicum,14,0.22,5.6e-05,0.006914,0.0013692857142857142,0.0005025,5.6e-05~0.006914
Siegesbeckia orientalis,14,0.22,0.0002,0.002667,0.0006761428571428573,0.000417,0.0002~0.002667
Microtropis japonica,14,0.22,4.6e-05,0.002286,0.0003696428571428571,9.2e-05,4.6e-05~0.002286
Paeoniae radix,14,0.22,3.6e-05,0.005517,0.0006712142857142856,0.000172,3.6e-05~0.005517
Lindera strychnifolia,14,0.22,4.4e-05,0.0005,0.00016364285714285718,0.000116,4.4e-05~0.0005
Mitragyna diversifolia,14,0.22,6e-05,0.009,0.0009407142857142857,0.00021,6e-05~0.009
Ervatamia hainanensis,14,0.22,1.5e-05,0.000522,0.00012857142857142858,5.9e-05,1.5e-05~0.000522
Sinocrassula asclepiadea,14,0.22,8.7e-05,0.002444,0.0004970625,0.0001775,8.7e-05~0.002444
Lysimachia clethroides,14,0.22,5e-05,0.005,0.0007699999999999999,0.0001,5e-05~0.005
Jatropha curcas,14,0.22,0.00034,0.00852,0.0016662142857142852,0.0011935000000000001,0.00034~0.00852
Medicago hybrida,14,0.22,0.006667,0.21,0.06238092857142857,0.05,0.006667~0.21
Rauvolfia yunnanensis,14,0.22,3.5e-05,0.021176,0.0027167333333333334,0.000588,3.5e-05~0.021176
Camellia sinensis,13,0.2,0.00022,0.0025,0.0012385384615384613,0.0013,0.00022~0.0025
Panax notoginseng,13,0.2,2.4e-05,0.000883,0.0002303846153846154,8e-05,2.4e-05~0.000883
Gardeniae fructus,13,0.2,0.000143,0.000677,0.00031430769230769224,0.00026,0.000143~0.000677
Salvia digitaloides,13,0.2,0.000127,0.007,0.0015107692307692302,0.000273,0.000127~0.007
Aconitum vilmorinianum,13,0.2,3.6e-05,0.04,0.008845538461538462,0.002486,3.6e-05~0.04
Helianthus annuus,13,0.2,2e-05,0.007152,0.0014446153846153845,0.0001,2e-05~0.007152
Trevesia palmata,13,0.2,6.4e-05,0.036538,0.006869307692307693,0.005,6.4e-05~0.036538
Rhododendron dauricum,13,0.2,1.2e-05,0.010588,0.001513615384615385,7.1e-05,1.2e-05~0.010588
Aconitum carmichaelii,13,0.2,2e-06,0.00046,6.8e-05,1.8e-05,2e-06~0.00046
Artemisia argyi,13,0.2,0.0002,0.00545,0.002175,0.00175,0.0002~0.00545
Buxus microphylla,13,0.2,4e-05,0.002857,0.000385076923076923,0.0002,4e-05~0.002857
Sibiraea angustata,13,0.2,2e-05,0.0008,0.0002673846153846154,0.000264,2e-05~0.0008
Dipsacus asper,13,0.2,2e-05,0.066,0.011153214285714285,0.00054,2e-05~0.066
Coffea arabica,13,0.2,1e-05,0.0002,7.73846153846154e-05,8e-05,1e-05~0.0002
Camellia sasanqua,13,0.2,6e-05,0.002725,0.0005560714285714285,0.00021,6e-05~0.002725
Pueraria thomsonii,13,0.2,2e-05,0.000429,0.0001491428571428571,0.00010850000000000001,2e-05~0.000429
Turraea pubescens,12,0.19,1.7e-05,0.002083,0.0005023333333333334,0.0001875,1.7e-05~0.002083
Scrophularia ningpoensis,12,0.19,1.7e-05,0.000835,0.0001296666666666667,3.8e-05,1.7e-05~0.000835
Thalictrum squarrosum,12,0.19,0.000163,0.001049,0.00044558333333333326,0.0003975,0.000163~0.001049
Eupatorium lindleyanum,12,0.19,0.000243,0.033318,0.0036442499999999986,0.000614,0.000243~0.033318
Momordica charantia,12,0.19,3.3e-05,0.002727,0.0007507499999999998,0.0006000000000000001,3.3e-05~0.002727
Isodon excisus,12,0.19,3.3e-05,0.006867,0.0011793333333333332,0.000181,3.3e-05~0.006867
Ferula pallida,12,0.19,0.000438,0.00325,0.0011252499999999997,0.000844,0.000438~0.00325
Pueraria lobata,12,0.19,8e-06,0.00015,2.4749999999999992e-05,9e-06,8e-06~0.00015
Glochidion puberum,12,0.19,5.3e-05,0.0012,0.0003803846153846152,0.00025,5.3e-05~0.0012
Antonia ovata,12,0.19,0.001273,0.0942,0.021030333333333335,0.0033,0.001273~0.0942
Murraya microphylla,12,0.19,2.5e-05,7.5e-05,3.908333333333333e-05,3.1e-05,2.5e-05~7.5e-05
Foetidia africana,12,0.19,0.00063,0.003465,0.0012205833333333333,0.0008265,0.00063~0.003465
Ferula varia,12,0.19,0.000143,0.013214,0.002023833333333333,0.0008215,0.000143~0.013214
Lonicera japonica,12,0.19,0.000134,0.01566,0.0030363529411764705,0.0016,0.000134~0.01566
Camellia japonica,12,0.19,2.7e-05,0.001357,0.00019875,5.2000000000000004e-05,2.7e-05~0.001357
Patrinia scabiosaefoli,12,0.19,0.000333,0.00215,0.0012465999999999998,0.00125,0.000333~0.00215
Clematis tangutica,12,0.19,0.000332,0.0016,0.0009353846153846156,0.00096,0.000332~0.0016
Alpinia pahangensis,12,0.19,0.0002,0.00857,0.001793076923076923,0.00045,0.0002~0.00857
Alstonia rostrata,12,0.19,3.5e-05,0.114286,0.015009461538461543,0.000204,3.5e-05~0.114286
Ulmus davidiana,12,0.19,4.8e-05,0.004575,0.0008083846153846152,0.000315,4.8e-05~0.004575
Belamcanda chinensis,12,0.19,4e-06,0.00092,8.6e-05,1.6e-05,4e-06~0.00092
Astragalus angustifolius,12,0.19,0.000272,0.006267,0.002165076923076923,0.002452,0.000272~0.006267
Acanthopanax senticosus,12,0.19,0.00036,0.138705,0.018740916666666666,0.00241,0.00036~0.138705
Crepidiastrum lanceolatum,11,0.17,9.4e-05,0.00386,0.0012474545454545455,0.000642,9.4e-05~0.00386
Ligularia odontomanes,11,0.17,6.3e-05,0.002813,0.0007900909090909093,0.000313,6.3e-05~0.002813
Chloranthus serratus,11,0.17,6.3e-05,0.001823,0.00042236363636363635,0.000146,6.3e-05~0.001823
Dictamnus dasycarpus,11,0.17,0.0006,0.00135,0.0009454545454545454,0.001,0.0006~0.00135
Tanacetum praeteritum,11,0.17,0.000265,0.013571,0.003441454545454546,0.001735,0.000265~0.013571
Rauvolfia verticillata,11,0.17,3.4e-05,0.00176,0.0005264545454545456,0.000471,3.4e-05~0.00176
Isodon henryi,11,0.17,3e-05,0.000105,6.458333333333334e-05,6e-05,3e-05~0.000105
Ajuga decumbens,11,0.17,0.00025,0.0025,0.0009659090909090912,0.001,0.00025~0.0025
Aconitum apetalum,11,0.17,3.6e-05,0.001286,0.0003727272727272728,0.000214,3.6e-05~0.001286
Vitex agnus-castus,11,0.17,0.00015,0.001856,0.0007385454545454546,0.000401,0.00015~0.001856
Lomelosia stellata,11,0.17,0.000459,0.002757,0.0010929090909090908,0.000766,0.000459~0.002757
Gynostemma pentaphyllum,11,0.17,0.000125,0.017,0.004034181818181818,0.0005,0.000125~0.017
Gordonia kwangsiensis,11,0.17,6.1e-05,0.002041,0.00030981818181818183,0.000133,6.1e-05~0.002041
Delphinium umbrosum,11,0.17,0.001889,0.005778,0.003375727272727273,0.003111,0.001889~0.005778
Gardenia erythroclada,11,0.17,4.5e-05,0.0006,0.0001863636363636364,0.000115,4.5e-05~0.0006
Chelonopsis odontochila,11,0.17,1.4e-05,0.000275,9.636363636363639e-05,5.5e-05,1.4e-05~0.000275
Albizia gummifera,11,0.17,0.000588,0.003059,0.0015652727272727274,0.001412,0.000588~0.003059
Melodinus tenuicaudatus,11,0.17,3e-06,0.00018,5.190909090909091e-05,1.4e-05,3e-06~0.00018
Teucrium viscidum,11,0.17,1e-05,0.0002,8.372727272727272e-05,6.3e-05,1e-05~0.0002
Vaccaria hispanica,11,0.17,0.00018,0.00425,0.0009785714285714287,0.0005,0.00018~0.00425
Saponaria officinalis,11,0.17,6.7e-05,0.00875,0.0017761333333333339,0.00075,6.7e-05~0.00875
Madhuca longifolia,11,0.17,0.000227,0.002955,0.001045538461538462,0.000455,0.000227~0.002955
Cyclocarya paliurus,11,0.17,2e-05,0.00115,0.00020533333333333333,4.6500000000000005e-05,2e-05~0.00115
Stelmatocrypton khasianum,11,0.17,4.2e-05,0.001421,0.0004481818181818182,0.000221,4.2e-05~0.001421
Ferula sinkiangensis,11,0.17,9.5e-05,0.000538,0.0003519090909090909,0.000357,9.5e-05~0.000538
Ainsliaea yunnanensis,11,0.17,3.2e-05,0.000186,8.527272727272726e-05,8.2e-05,3.2e-05~0.000186
Ferula pseudalliacea,10,0.16,0.0006,0.0023,0.00132,0.0012,0.0006~0.0023
Manihot esculenta,10,0.16,9e-06,0.00092,0.0005509,0.0005399999999999999,9e-06~0.00092
Kadsura ananosma,10,0.16,2e-05,0.00065,0.00021880000000000003,0.000149,2e-05~0.00065
Olea europaea,10,0.16,0.0001,0.00415,0.00071,0.00027499999999999996,0.0001~0.00415
Vernonia chinensis,10,0.16,0.00016,0.00328,0.0010279999999999998,0.00044,0.00016~0.00328
Aconitum duclouxii,10,0.16,1.5e-05,0.001623,0.00043160000000000003,0.00019999999999999998,1.5e-05~0.001623
Barringtonia asiatica,10,0.16,4.2e-05,0.000495,0.0002034,0.000167,4.2e-05~0.000495
Inula japonica,10,0.16,1.4e-05,0.00056,0.00014099999999999998,2.1e-05,1.4e-05~0.00056
Aconitum napellus,10,0.16,0.000418,0.008711,0.0028729000000000003,0.0016550000000000002,0.000418~0.008711
Rosa laevigata,10,0.16,0.000233,0.002833,0.0010233,0.0006165000000000001,0.000233~0.002833
Pieris formosa,10,0.16,5e-05,0.00025,0.00010509999999999998,7.5e-05,5e-05~0.00025
Incarvillea delavayi,10,0.16,1e-05,0.001133,0.00023350000000000004,6.199999999999999e-05,1e-05~0.001133
Thalictri herba,10,0.16,0.000167,0.001694,0.0008533000000000001,0.0008975000000000001,0.000167~0.001694
Pharbitis nil,10,0.16,4e-05,0.0005,0.000149,6.5e-05,4e-05~0.0005
Neurolaena oaxacana,10,0.16,0.000333,0.010667,0.00196,0.00115,0.000333~0.010667
Capsicum annuum,10,0.16,0.000533,0.007525,0.0033262,0.002334,0.000533~0.007525
Paeonia delavayi,10,0.16,0.0002,0.0065,0.0018448,0.00131,0.0002~0.0065
Maytenus chuchuhuasca,10,0.16,1.4e-05,0.000342,0.0001068,7.3e-05,1.4e-05~0.000342
Croton cascarilloides,10,0.16,8e-06,0.000239,7.36e-05,4.15e-05,8e-06~0.000239
Isodon japonica,10,0.16,0.000109,0.007,0.0014076,0.000492,0.000109~0.007
Sonchus arvensis,10,0.16,2.1e-05,0.000128,7.129999999999998e-05,5.85e-05,2.1e-05~0.000128
Stryphnodendron fissuratum,10,0.16,0.00015,0.002475,0.0009379999999999999,0.0006399999999999999,0.00015~0.002475
Scabiosa tschiliensis,10,0.16,0.000142,0.0025,0.0008557,0.000552,0.000142~0.0025
Blumea balsamifera,10,0.16,0.000169,0.001538,0.00047540000000000006,0.0003465,0.000169~0.001538
Aralia elata,10,0.16,0.0001,0.002463,0.0007293333333333335,0.0003375,0.0001~0.002463
Phyllanthus acidus,10,0.16,3.7e-05,0.000141,6.8e-05,5.9e-05,3.7e-05~0.000141
Piptocoma rufescens,10,0.16,0.000213,0.009574,0.0021469999999999996,0.001277,0.000213~0.009574
Eupatorium luchuense,10,0.16,0.0003,0.0025,0.0008500000000000001,0.0005499999999999999,0.0003~0.0025
Delphinium chrysotrichum,10,0.16,4e-05,0.000608,0.0002505,0.000245,4e-05~0.000608
Catunaregam tomentosa,10,0.16,0.00011,0.00025,0.00016000000000000004,0.00015,0.00011~0.00025
Laggera alata,10,0.16,9.1e-05,0.000867,0.0004359,0.0004335,9.1e-05~0.000867
Ladenbergia hexandra,10,0.16,0.0012,0.26,0.04676999999999999,0.0102,0.0012~0.26
Uncaria hirsuta,10,0.16,1.1e-05,0.104,0.0160757,0.0012499999999999998,1.1e-05~0.104
Symplocos chinensis,10,0.16,0.0001,0.000582,0.0002686,0.000264,0.0001~0.000582
Polygala tenuifolia,10,0.16,0.000204,0.1012,0.0084775,0.00115,0.000204~0.1012
Hovenia dulcis,9,0.14,7.8e-05,0.0008,0.0003601111111111112,0.000252,7.8e-05~0.0008
Calendula arvensis,9,0.14,0.0005,0.01625,0.005597222222222221,0.00225,0.0005~0.01625
Meliosma lanceolata,9,0.14,0.000294,0.066471,0.008065333333333334,0.000706,0.000294~0.066471
Laurus nobilis,9,0.14,0.000198,0.006971,0.0017238888888888887,0.000693,0.000198~0.006971
Entada africana,9,0.14,0.001444,0.019444,0.009166555555555556,0.010278,0.001444~0.019444
Bellis bernardii,9,0.14,0.0065,0.1325,0.03911111111111112,0.0125,0.0065~0.1325
Gypsophila perfoliata,9,0.14,0.000692,0.001538,0.0009913333333333332,0.000923,0.000692~0.001538
Gelsemium elegans,9,0.14,3.7e-05,0.000622,0.0002667777777777778,0.000267,3.7e-05~0.000622
Thalictrum fortunei,9,0.14,0.000293,0.002157,0.0008395555555555556,0.000571,0.000293~0.002157
Salacia chinensis,9,0.14,3.6e-05,0.00076,0.00035688888888888885,0.000293,3.6e-05~0.00076
Aconitum sinchiangense,9,0.14,3.8e-05,0.001034,0.0002581111111111111,0.000172,3.8e-05~0.001034
Ligularia hodgsonii,9,0.14,0.0002,0.0016,0.0005222222222222222,0.0004,0.0002~0.0016
Inula caspica,9,0.14,5.5e-05,0.001664,0.0003484444444444444,0.000136,5.5e-05~0.001664
Achillea collina,9,0.14,3.6e-05,0.026667,0.007792888888888889,0.005,3.6e-05~0.026667
Cyclanthera pedata,9,0.14,0.0009,0.0031,0.0020777777777777778,0.00216,0.0009~0.0031
Valeriana amurensis,9,0.14,0.000268,0.004561,0.001124666666666667,0.000451,0.000268~0.004561
Bellis perennis,9,0.14,0.000267,0.00122,0.0005873333333333334,0.000503,0.000267~0.00122
Silphium radula,9,0.14,0.00054,0.0526,0.015402222222222225,0.00858,0.00054~0.0526
Salvia yunnanensis,9,0.14,3e-06,0.000275,4.0333333333333336e-05,9e-06,3e-06~0.000275
Beesia calthaefolia,9,0.14,0.000703,0.166667,0.04838566666666666,0.013333,0.000703~0.166667
Beesia calthifolia,9,0.14,0.000429,0.128571,0.023666555555555555,0.004286,0.000429~0.128571
Aconitum brachypodum,9,0.14,9.2e-05,0.000431,0.00019655555555555558,0.000177,9.2e-05~0.000431
Acanthophyllum glandulosum,9,0.14,0.000667,0.017699,0.003826222222222222,0.002,0.000667~0.017699
Pittosporum angustifolium,9,0.14,0.001357,0.114286,0.014984333333333337,0.002286,0.001357~0.114286
Isodon inflexus,9,0.14,0.000117,0.003333,0.0011135,0.0007999999999999999,0.000117~0.003333
Anemone begoniifolia,9,0.14,0.0005,0.205,0.04447222222222222,0.00475,0.0005~0.205
Tinospora crispa,9,0.14,0.000165,0.006667,0.001802909090909091,0.001005,0.000165~0.006667
Eriobotrya deflexa,9,0.14,0.0007,0.072,0.021314545454545458,0.0024,0.0007~0.072
Calendula officinalis,9,0.14,0.0004,0.0024,0.0010611111111111112,0.001,0.0004~0.0024
Albizia procera,9,0.14,9.6e-05,0.002843,0.0008999090909090911,0.000569,9.6e-05~0.002843
Rosmarinus officinalis,9,0.14,0.000325,0.010667,0.0024886666666666664,0.0018,0.000325~0.010667
Cyclamen hederifolium,9,0.14,0.0004,0.01036,0.004573333333333333,0.00464,0.0004~0.01036
Scolopia chinensis,9,0.14,9e-06,0.000401,7.255555555555556e-05,3.8e-05,9e-06~0.000401
Wisteria villosa,9,0.14,5e-05,0.00061,0.0002844444444444445,0.00026,5e-05~0.00061
Panacis majoris,9,0.14,0.000103,0.000699,0.00037555555555555557,0.000355,0.000103~0.000699
Chloranthus holostegius,9,0.14,0.00015,0.0003,0.00022000000000000003,0.0002,0.00015~0.0003
Delphinium majus,9,0.14,4.7e-05,0.000962,0.00038677777777777777,0.000312,4.7e-05~0.000962
Casearia graveolens,9,0.14,3.4e-05,0.000146,9.455555555555556e-05,9.6e-05,3.4e-05~0.000146
Lantana camara,9,0.14,4e-05,0.0055,0.002286333333333333,0.003083,4e-05~0.0055
Rosenbergiodendron formosum,9,0.14,0.014286,0.192143,0.07500022222222222,0.036429,0.014286~0.192143
Clinopodium polycephalum,8,0.13,6.5e-05,0.000779,0.00032025,0.000321,6.5e-05~0.000779
Physena sessiliflora,8,0.13,0.007,0.088,0.026312500000000003,0.009999999999999998,0.007~0.088
Anthemis carpatica,8,0.13,0.001579,0.018947,0.006355125,0.0048944999999999995,0.001579~0.018947
Bousigonia mekongensis,8,0.13,7.5e-05,0.000233,0.00014987500000000002,0.00015000000000000001,7.5e-05~0.000233
Anchusa undulata,8,0.13,0.00036,0.0016,0.001015,0.0009400000000000001,0.00036~0.0016
Andrographis paniculata,8,0.13,0.000106,0.000586,0.000296375,0.00029,0.000106~0.000586
Gardneria ovata,8,0.13,4.3e-05,0.000571,0.00020887500000000002,0.000143,4.3e-05~0.000571
Aconitum barbatum,8,0.13,3.8e-05,0.000488,0.000194,8.25e-05,3.8e-05~0.000488
Salvia syriaca,8,0.13,0.000676,0.008108,0.0025338749999999997,0.001892,0.000676~0.008108
Cichorium endivia,8,0.13,0.000238,0.003968,0.0013193750000000002,0.000635,0.000238~0.003968
Vernonia cinerea,8,0.13,0.00125,0.035,0.00900625,0.0015,0.00125~0.035
Pseudolarix kaempferi,8,0.13,0.0002,0.01,0.004555375,0.004298,0.0002~0.01
Anthemis auriculata,8,0.13,4.5e-05,0.007692,0.00113075,0.0002515,4.5e-05~0.007692
Pilea cavaleriei,8,0.13,8e-05,0.005,0.000775,0.0002,8e-05~0.005
Tabernaemontana bovina,8,0.13,1e-06,6.2e-05,1.45e-05,9.999999999999999e-06,1e-06~6.2e-05
Taxus mairei,8,0.13,5.8e-05,0.0002,0.0001535,0.00016,5.8e-05~0.0002
Euphorbia neriifolia,8,0.13,4e-06,0.000113,2.4e-05,9.5e-06,4e-06~0.000113
Isodon xerophilus,8,0.13,8e-06,1.5e-05,1.125e-05,1.0500000000000001e-05,8e-06~1.5e-05
Pinus armandii,8,0.13,0.0007,0.0032,0.0016937500000000002,0.00125,0.0007~0.0032
Pteleopsis suberosa,8,0.13,0.000247,0.028099,0.004246874999999999,0.000531,0.000247~0.028099
Notoscyphus lutescens,8,0.13,0.00012,0.00212,0.0005725,0.000335,0.00012~0.00212
Artabotrys hongkongensis,8,0.13,3.9e-05,0.000294,0.00014075,0.000134,3.9e-05~0.000294
Hydrocotyle nepalensis,8,0.13,2e-05,0.00032,0.00010500000000000002,8e-05,2e-05~0.00032
Astragalus melanophrurius,8,0.13,0.011852,0.192593,0.05624999999999999,0.034074,0.011852~0.192593
Aconitum soongaricum,8,0.13,7.7e-05,0.002308,0.0007962500000000001,0.0004,7.7e-05~0.002308
Fagonia indica,8,0.13,3.9e-05,0.000243,8.312499999999999e-05,6.6e-05,3.9e-05~0.000243
Glycyrrhiza yunnanensis,8,0.13,3e-06,6.7e-05,2.2125000000000002e-05,1.7e-05,3e-06~6.7e-05
Mussaenda macrophylla,8,0.13,0.000313,0.001875,0.0007859999999999999,0.0007,0.000313~0.001875
Eucommia ulmoides,8,0.13,0.0004,0.0225,0.005761249999999999,0.0008500000000000001,0.0004~0.0225
Tithonia diversifolia,8,0.13,5.4e-05,0.002378,0.0004306249999999999,0.000135,5.4e-05~0.002378
